spark.driver.cores,spark.driver.memory,spark.executor.cores,spark.executor.instances,spark.executor.memory,spark.memory.offHeap.size,spark.broadcast.blockSize,spark.default.parallelism,spark.executor.memoryOverhead,spark.locality.wait,spark.memory.fraction,spark.memory.storageFraction,spark.reducer.maxSizeInFlight,spark.shuffle.file.buffer,spark.sql.autoBroadcastJoinThreshold,spark.sql.inMemoryColumnarStorage.batchSize,spark.sql.shuffle.partitions,spark.storage.memoryMapThreshold,spark.broadcast.compress,spark.rdd.compress,spark.sql.join.preferSortMergeJoin,spark.io.compression.codec,q1,q10,q11,q12,q13,q14a,q14b,q15,q16,q17,q18,q19,q2,q20,q21,q22,q23a,q23b,q24a,q24b,q25,q26,q27,q28,q29,q3,q30,q31,q32,q33,q34,q35,q36,q37,q38,q39a,q39b,q4,q40,q41,q43,q42,q44,q45,q46,q47,q48,q49,q5,q50,q51,q52,q53,q54,q55,q56,q57,q58,q59,q6,q60,q61,q62,q63,q64,q65,q66,q67,q68,q69,q7,q70,q71,q72,q73,q74,q75,q76,q77,q78,q79,q8,q80,q81,q82,q83,q84,q85,q86,q87,q88,q89,q9,q90,q91,q92,q93,q94,q95,q96,q97,q98,q99
4,11328m,8,4,21440m,1152m,11m,104,1920,2900ms,0.6,0.59,61m,94k,16896k,5100,117,6m,TRUE,TRUE,TRUE,snappy,14611,18553,29245,11329,11592,44535,39906,12315,32885,15880,17067,12354,15814,11196,10036,26342,55984,57199,69784,66405,14502,12101,11537,22747,20589,9426,14989,16185,9917,12586,11915,18920,11360,14197,21257,14168,13245,101575,13975,6521,11347,8428,15632,12473,13301,17579,11067,20235,17694,28216,33311,8877,10393,15116,8694,12012,15780,13210,17212,11985,12212,11099,11299,10491,56802,22283,15046,241791,12787,15133,11609,14499,11686,76958,11495,27738,35892,17070,15152,43668,11893,12946,23418,16737,17866,12167,11163,16357,11367,23915,20065,10905,24006,10390,13359,9830,43970,22849,38767,9436,22113,12308,11633
11,6144m,4,8,12416m,3008m,2m,159,3584,4300ms,0.76,0.84,104m,20k,22272k,19400,96,5m,FALSE,FALSE,FALSE,lz4,14216,23950,28338,11685,11201,41227,42288,13343,32478,17268,18015,12906,15545,12294,10904,27765,53981,60241,67491,62614,16299,11164,10986,22746,18055,9677,15806,16489,10448,12268,10872,20414,12638,12961,19212,15649,14448,101888,15486,10162,11052,9357,14107,14458,13747,19159,10888,19393,18109,23994,38350,9742,10967,15628,9766,11949,17316,15707,17683,12618,12471,11928,11905,11149,55604,21980,15238,129102,13083,22926,11357,14023,12713,273385,10255,27534,34449,17008,15682,44807,11213,12413,23323,16616,16480,17091,12833,20094,12074,21192,20023,11358,24551,11642,13497,10674,37800,23146,57849,9863,25868,13239,12338
9,10688m,8,11,10368m,2688m,7m,276,832,1400ms,0.64,0.67,35m,55k,29184k,15000,232,1m,TRUE,TRUE,FALSE,snappy,14360,16646,23180,12382,11252,33589,32454,12658,26673,19267,16706,13531,15184,11744,10634,22346,38957,44102,55816,54203,16264,11439,11825,20574,17569,10341,15441,15895,11498,12095,11759,18568,13228,13522,20102,16304,15397,60102,16267,9303,11576,10254,14966,13444,14410,17446,11075,18924,17545,20290,25738,10437,11823,15859,10374,12153,17594,16265,17812,12801,12762,12173,12003,11924,47320,20179,16399,119527,13060,16753,11994,15023,13694,125160,11692,21378,30295,17309,14973,35015,11731,14294,22210,16037,15347,15368,13948,16850,12959,21613,19327,12495,21980,11333,13890,11438,33174,20518,38173,10213,20724,14180,12529
7,12224m,2,8,10368m,2496m,13m,60,2816,5200ms,0.47,0.42,138m,60k,10112k,10500,69,9m,FALSE,FALSE,TRUE,lz4,14219,20761,35705,12590,12495,56521,53953,15003,41398,21177,20046,13841,19068,12188,11151,37492,80665,86895,83868,85639,19527,11239,11755,30666,32088,9771,17230,16482,10906,12008,10929,23774,12502,14566,32458,14519,14285,171699,15345,9912,11269,10628,15940,14753,14217,19861,12465,20941,20820,50171,50073,9807,11594,17652,9933,11520,18496,14475,20328,13183,13206,12596,12517,11131,78834,28910,16376,214669,12910,19101,11830,15701,12648,122167,10389,34029,40046,19238,15391,59847,11669,13457,28129,17955,19635,15215,13783,23133,12712,42800,27794,11683,36121,12528,11594,10966,69283,28674,53036,11702,26884,13506,14321
10,15552m,6,9,9664m,3712m,14m,246,3712,6000ms,0.4,0.53,40m,41k,29952k,16600,223,8m,TRUE,FALSE,TRUE,lz4,14157,17681,25231,12081,11330,35921,33713,12408,26776,18919,16250,12787,15530,12412,10656,21475,43216,50894,58228,56981,15511,11911,11388,20247,17964,10138,15535,15519,10787,11580,11414,17628,12154,14234,20662,15033,14889,71288,15675,8820,10903,9970,14441,13822,12971,17398,10594,18884,17480,21043,32627,10126,11405,15991,9908,12141,18481,16225,17599,12975,12088,11798,11802,11763,50043,21106,16351,124309,12700,17249,12149,14409,13200,55181,10202,23298,31106,16859,14823,37545,13759,13065,23125,16203,15316,15276,13200,17438,12447,22225,18563,11827,21075,11030,13322,10496,36577,20270,28818,10004,19128,13415,12064
10,13440m,10,6,6656m,2880m,5m,148,1600,2200ms,0.68,0.78,117m,74k,12288k,8000,249,3m,FALSE,TRUE,FALSE,snappy,13522,22636,23176,12304,12622,32423,32519,13772,32263,15325,16272,14341,14770,12360,11144,22081,40483,45601,57189,70163,15708,11738,11084,18202,20051,10679,15749,14975,10008,11567,11169,19808,13105,13472,19283,14357,14254,65266,13773,8767,11228,9506,14193,13944,13644,16687,11395,18180,16233,20538,29159,9802,9988,16578,9771,11538,16159,13866,17092,12443,12354,12680,11795,11627,52450,20577,14995,130326,13199,20518,11644,13832,13320,142318,10507,21310,28540,15959,15229,37963,11979,13450,21312,14939,15213,14794,13484,19787,11756,22885,17111,11363,20465,10512,10646,10657,34910,22637,40215,9584,21600,13673,11414
6,14464m,10,4,19712m,256m,5m,149,2560,3800ms,0.81,0.6,81m,81k,17792k,11400,163,4m,TRUE,FALSE,FALSE,lz4,15061,17070,28907,10897,11441,42242,39122,12565,33253,16122,15723,12379,14211,11095,9861,77028,55630,59240,63411,64114,14544,12130,12351,22698,17314,9261,15902,17111,10275,11850,11529,24169,11915,12853,25552,16373,16153,97106,14351,6367,11047,9045,15049,11386,13026,17014,11005,18980,17004,27648,42662,9244,10759,14541,9321,11973,16329,13462,18246,12561,12677,11376,11385,11057,56334,24481,15257,168541,12718,16440,11864,14209,12561,213637,10972,26921,42231,15376,14717,39552,12457,12987,23751,16622,16955,12313,12686,16546,11532,30814,18726,11285,22918,9887,12447,10326,38127,23357,54008,9717,22973,12408,12557
12,6976m,9,5,4480m,3136m,10m,174,832,2400ms,0.52,0.36,98m,34k,24576k,14000,148,8m,FALSE,TRUE,TRUE,snappy,15429,25046,27150,11421,11562,39527,35737,14580,27977,16537,18832,14137,15177,11667,9834,28626,46160,52091,67323,66912,15866,11596,12140,22727,18707,8892,16987,16847,9893,12734,11580,23114,12408,12593,25807,14045,13391,83601,16163,6355,10696,9233,14251,14036,14751,18662,12374,18992,17607,24355,32655,9117,10996,16048,8933,12278,17578,13709,17120,12846,12487,12557,11205,10709,57297,21710,15277,132202,13408,22409,12346,14343,12545,62589,11103,26727,37667,16936,14760,47104,12384,14113,22242,18308,15416,13791,13912,21677,11836,26484,17663,11380,21230,10465,14826,10078,42108,25295,34056,10220,22902,12677,12145
7,5504m,7,3,23232m,1536m,9m,72,2304,4700ms,0.53,0.54,73m,92k,31744k,18600,74,3m,FALSE,FALSE,TRUE,lz4,15707,18800,30081,11430,11955,49659,46492,13032,40517,15827,19007,13357,15946,11426,9898,32936,70929,75001,83552,80549,14645,11625,12174,25579,17655,8794,16070,16333,10024,12169,11386,21484,11922,14084,24107,14391,13443,142344,14781,6215,11102,8599,15260,14061,14104,20310,11641,19247,18549,32200,45944,8708,10496,16035,8650,12064,19034,13523,18351,12849,12961,11717,12121,10428,68312,25547,14734,230082,14016,18636,12104,14756,11939,106205,11332,28810,35656,17442,14195,54463,14808,14002,24888,17605,17375,12007,13084,19887,11315,33786,22375,11568,29171,10479,14225,9634,59990,25607,50590,10746,24476,11807,12406
7,5760m,8,8,16192m,1152m,7m,169,1728,2900ms,0.82,0.62,107m,46k,18816k,9800,276,6m,TRUE,TRUE,FALSE,snappy,13916,17843,22868,11999,11112,33785,32030,12274,31099,16715,15972,12810,15129,12044,10358,22188,42111,46646,55648,70294,15030,11802,11311,19012,16479,9919,15505,14816,10943,12417,11114,16866,12413,13252,20223,14921,14551,69025,14759,9462,11019,9915,14883,12713,13360,16799,10686,19196,16885,19712,29613,10441,11700,15748,9834,12163,16580,14873,16709,12415,13510,11199,11360,11574,48605,20525,15080,146178,13276,15842,11769,13972,12725,134722,10587,21764,29435,16057,14606,40347,11637,12654,22179,15537,15069,14400,12461,16015,11736,22425,17968,11872,20616,11089,13347,11005,37605,20373,39217,9553,22546,13972,11992
